CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE
CHEMBL422005	266812	CHEMBL422005	266812		13 (P41)	278.74	1.98	98.05	0	Nc1nc(N)c(c(CCCO)n1)c2cccc(Cl)c2	1127808	IC50	=	1100	nM	5.96				155801	CHEMBL765486	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase wild type (TM4/8.2)	1	Scientific Literature	Plasmodium falciparum	TM4/8.2	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL329687	149732	CHEMBL329687	149732		33 (C96)	299.76	3.31	80	0	NC1=NC(N(C(=N1)N)c2cccc(Cl)c2)c3ccccc3	1124067	IC50	=	310	nM	6.51				155797	CHEMBL760283	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase C59R/S108N (K1CB1) mutant	1	Scientific Literature	Plasmodium falciparum	K1CB1	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL419055	194994	CHEMBL419055	194994		52	318.37	2.49	105.51	0	CCc1nc(N)nc(N)c1Cc2cc(OC)c(OC)c(OC)c2	213617	IC50	>	50000	nM					155467	CHEMBL769492	F	In vitro antimalarial activity against Plasmodium falciparum K1CB1 double DHFR mutant (C59R/S108N)	1	Scientific Literature	Plasmodium falciparum	K1CB1	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17636	CHEMBL1148379	14711307	J. Med. Chem.	2004	47	2	345
CHEMBL416373	27545	CHEMBL416373	27545		41	468.55	4.42	123.97	0	CCCCOc1cc(Cc2cnc(N)nc2N)ccc1OCc3cc(OC)c(OC)c(OC)c3	188722	IC50	=	30	nM	7.52				155460	CHEMBL769485	F	In vitro antimalarial activity against Plasmodium falciparum Csl-2 triple DHFR mutant (C59R/S108N/I164L) relative to trimethoprim	1	Scientific Literature	Plasmodium falciparum	CsI-2	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17636	CHEMBL1148379	14711307	J. Med. Chem.	2004	47	2	345
CHEMBL419055	194994	CHEMBL419055	194994		52	318.37	2.49	105.51	0	CCc1nc(N)nc(N)c1Cc2cc(OC)c(OC)c(OC)c2	213616	IC50	=	360	nM	6.44				155470	CHEMBL769666	F	In vitro antimalarial activity relative to trimethoprim against Plasmodium falciparum TM4/8.2 wtDHFR	1	Scientific Literature	Plasmodium falciparum	TM4/8.2	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17636	CHEMBL1148379	14711307	J. Med. Chem.	2004	47	2	345
CHEMBL7130	1419	CHEMBL7130	1419		23 (C97)	251.72	1.62	80	0	CC1(C)N=C(N)N=C(N)N1c2cccc(Cl)c2	1141559	IC50	=	520	nM	6.28				155798	CHEMBL760860	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase C59R+S108N/I164L (Csl-2) mutant	1	Scientific Literature	Plasmodium falciparum	Csl-2	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL279948	27514	CHEMBL279948	27514		55	426.51	5.01	96.28	1	Cc1nc(N)nc(N)c1Cc2ccc(OCc3ccccc3)c(OCc4ccccc4)c2	219627	IC50	=	20	nM	7.7				155460	CHEMBL769485	F	In vitro antimalarial activity against Plasmodium falciparum Csl-2 triple DHFR mutant (C59R/S108N/I164L) relative to trimethoprim	1	Scientific Literature	Plasmodium falciparum	CsI-2	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17636	CHEMBL1148379	14711307	J. Med. Chem.	2004	47	2	345
CHEMBL434771	28040	CHEMBL434771	28040		22	258.28	1.85	96.28	0	CCc1nc(N)nc(N)c1c2ccc3OCOc3c2	975530	IC50	=	21500	nM	4.67				155100	CHEMBL762995	F	Antiplasmodial activity IC50 against Plasmodium falciparum K1CB1 DHFR double-mutant (C59R/S10)	1	Scientific Literature	Plasmodium falciparum	K1CB1	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			16871	CHEMBL1135602	11881993	J. Med. Chem.	2002	45	6	1244
CHEMBL21395	27895	CHEMBL21395	27895		31	350.41	3.49	96.28	0	CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc3ccccc3	221918	IC50	<	80	nM					155472	CHEMBL769668	F	In vitro antimalarial activity relative to trimethoprim against Plasmodium falciparum Vl/S with quadruple DHFR mutant (N51I/C59R/S108N/I164L)	1	Scientific Literature	Plasmodium falciparum	V1/S	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17636	CHEMBL1148379	14711307	J. Med. Chem.	2004	47	2	345
CHEMBL419055	194994	CHEMBL419055	194994		52	318.37	2.49	105.51	0	CCc1nc(N)nc(N)c1Cc2cc(OC)c(OC)c(OC)c2	213620	IC50	>	420	nM					155460	CHEMBL769485	F	In vitro antimalarial activity against Plasmodium falciparum Csl-2 triple DHFR mutant (C59R/S108N/I164L) relative to trimethoprim	1	Scientific Literature	Plasmodium falciparum	CsI-2	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17636	CHEMBL1148379	14711307	J. Med. Chem.	2004	47	2	345
CHEMBL747	39570	CHEMBL747	39570	CYCLOGUANIL	Cycloguanil (C21)	251.72	1.62	80	0	CC1(C)N=C(N)N=C(N)N1c2ccc(Cl)cc2	1121735	IC50	=	3700	nM	5.43				155795	CHEMBL760281	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase A16V/S108T (T9/94RC17) mutant	1	Scientific Literature	Plasmodium falciparum	T9/94RC17	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL22148	27847	CHEMBL22148	27847		19	214.27	2.09	77.81	0	CCc1nc(N)nc(N)c1c2ccccc2	975512	IC50	=	3300	nM	5.48				155100	CHEMBL762995	F	Antiplasmodial activity IC50 against Plasmodium falciparum K1CB1 DHFR double-mutant (C59R/S10)	1	Scientific Literature	Plasmodium falciparum	K1CB1	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			16871	CHEMBL1135602	11881993	J. Med. Chem.	2002	45	6	1244
CHEMBL22146	28057	CHEMBL22146	28057		30	336.39	3.14	96.28	0	COc1cc(Cc2cnc(N)nc2N)ccc1OCc3ccccc3	215920	IC50	=	210	nM	6.68				155460	CHEMBL769485	F	In vitro antimalarial activity against Plasmodium falciparum Csl-2 triple DHFR mutant (C59R/S108N/I164L) relative to trimethoprim	1	Scientific Literature	Plasmodium falciparum	CsI-2	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17636	CHEMBL1148379	14711307	J. Med. Chem.	2004	47	2	345
CHEMBL22901	27612	CHEMBL22901	27612		39	440.49	3.44	123.97	0	CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc3cc(OC)c(OC)c(OC)c3	215953	IC50	=	19450	nM	4.71				155471	CHEMBL769667	F	In vitro antimalarial activity against Plasmodium falciparum Vl/S with quadruple DHFR mutant (N51I/C59R/S108N/I164L) 	1	Scientific Literature	Plasmodium falciparum	V1/S	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17636	CHEMBL1148379	14711307	J. Med. Chem.	2004	47	2	345
CHEMBL159052	267138	CHEMBL159052	267138		45 (C313)	553.27	6.98	98.46	2	NC1=NC(N(C(=N1)N)c2cccc(Cl)c2)c3cccc(OCCCOc4cc(Cl)c(Cl)cc4Cl)c3	1109748	IC50	=	3200	nM	5.49				155800	CHEMBL765485	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase N51I/C59R/S108N (W2)	1	Scientific Literature	Plasmodium falciparum	W2	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL159052	267138	CHEMBL159052	267138		45 (C313)	553.27	6.98	98.46	2	NC1=NC(N(C(=N1)N)c2cccc(Cl)c2)c3cccc(OCCCOc4cc(Cl)c(Cl)cc4Cl)c3	1109749	IC50	=	5200	nM	5.28				155798	CHEMBL760860	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase C59R+S108N/I164L (Csl-2) mutant	1	Scientific Literature	Plasmodium falciparum	Csl-2	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL348151	266599	CHEMBL348151	266599		46 (C299)	459.85	5.81	89.23	1	NC1=NC(N(C(=N1)N)c2cccc(Cl)c2)c3cccc(Oc4cccc(c4)C(F)(F)F)c3	1135284	IC50	=	180	nM	6.74				155795	CHEMBL760281	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase A16V/S108T (T9/94RC17) mutant	1	Scientific Literature	Plasmodium falciparum	T9/94RC17	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL279948	27514	CHEMBL279948	27514		46	426.51	5.01	96.28	1	Cc1nc(N)nc(N)c1Cc2ccc(OCc3ccccc3)c(OCc4ccccc4)c2	957888	IC50	=	4400	nM	5.36				155100	CHEMBL762995	F	Antiplasmodial activity IC50 against Plasmodium falciparum K1CB1 DHFR double-mutant (C59R/S10)	1	Scientific Literature	Plasmodium falciparum	K1CB1	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			16871	CHEMBL1135602	11881993	J. Med. Chem.	2002	45	6	1244
CHEMBL158639	266729	CHEMBL158639	266729		27 (C434)	279.77	2.73	80	0	CCCC1(C)N=C(N)N=C(N)N1c2cccc(Cl)c2	1106394	IC50	=	180	nM	6.74				155797	CHEMBL760283	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase C59R/S108N (K1CB1) mutant	1	Scientific Literature	Plasmodium falciparum	K1CB1	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL278813	27878	CHEMBL278813	27878		21 (P32)	368.86	4.68	87.05	0	COc1ccc(CCCc2nc(N)nc(N)c2c3cccc(Cl)c3)cc1	1130147	IC50	=	410	nM	6.39				155801	CHEMBL765486	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase wild type (TM4/8.2)	1	Scientific Literature	Plasmodium falciparum	TM4/8.2	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL7130	1419	CHEMBL7130	1419		23 (C97)	251.72	1.62	80	0	CC1(C)N=C(N)N=C(N)N1c2cccc(Cl)c2	1141558	IC50	=	220	nM	6.66				155800	CHEMBL765485	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase N51I/C59R/S108N (W2)	1	Scientific Literature	Plasmodium falciparum	W2	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL747	39570	CHEMBL747	39570	CYCLOGUANIL	Cycloguanil (C21)	251.72	1.62	80	0	CC1(C)N=C(N)N=C(N)N1c2ccc(Cl)cc2	1121739	IC50	>	100000	nM					155799	CHEMBL765484	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase CN51I/C59R/S108N/I164L (V1/S) mutant	1	Scientific Literature	Plasmodium falciparum	V1/S	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL416552	27919	CHEMBL416552	27919		18 (P39)	270.37	3.91	77.81	0	CCCCCCc1nc(N)nc(N)c1c2ccccc2	1129120	IC50	=	2300	nM	5.64				155800	CHEMBL765485	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase N51I/C59R/S108N (W2)	1	Scientific Literature	Plasmodium falciparum	W2	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL352441	266757	CHEMBL352441	266757		19 (P44)	412.87	4.59	113.35	0	Nc1nc(N)c(c(CCCOC(=O)OCc2ccccc2)n1)c3cccc(Cl)c3	1131316	IC50	=	4100	nM	5.39				155800	CHEMBL765485	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase N51I/C59R/S108N (W2)	1	Scientific Literature	Plasmodium falciparum	W2	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL281412	27848	CHEMBL281412	27848		18	244.29	2.07	87.05	0	CCc1nc(N)nc(N)c1c2ccc(OC)cc2	974313	IC50	>	25000	nM					155100	CHEMBL762995	F	Antiplasmodial activity IC50 against Plasmodium falciparum K1CB1 DHFR double-mutant (C59R/S10)	1	Scientific Literature	Plasmodium falciparum	K1CB1	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			16871	CHEMBL1135602	11881993	J. Med. Chem.	2002	45	6	1244
CHEMBL119224	195389	CHEMBL119224	195389		35	292.34	3.15	87.05	0	Nc1ncc(Cc2cccc(Oc3ccccc3)c2)c(N)n1	201751	IC50	<	150	nM					155472	CHEMBL769668	F	In vitro antimalarial activity relative to trimethoprim against Plasmodium falciparum Vl/S with quadruple DHFR mutant (N51I/C59R/S108N/I164L)	1	Scientific Literature	Plasmodium falciparum	V1/S	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17636	CHEMBL1148379	14711307	J. Med. Chem.	2004	47	2	345
CHEMBL416552	27919	CHEMBL416552	27919		18 (P39)	270.37	3.91	77.81	0	CCCCCCc1nc(N)nc(N)c1c2ccccc2	1129121	IC50	=	3000	nM	5.52				155798	CHEMBL760860	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase C59R+S108N/I164L (Csl-2) mutant	1	Scientific Literature	Plasmodium falciparum	Csl-2	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL416376	27613	CHEMBL416376	27613		37	396.44	3.11	114.74	0	COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC	210142	IC50	=	21120	nM	4.68				155471	CHEMBL769667	F	In vitro antimalarial activity against Plasmodium falciparum Vl/S with quadruple DHFR mutant (N51I/C59R/S108N/I164L) 	1	Scientific Literature	Plasmodium falciparum	V1/S	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17636	CHEMBL1148379	14711307	J. Med. Chem.	2004	47	2	345
CHEMBL161757	266600	CHEMBL161757	266600		44 (C186)	460.74	6.2	89.23	1	NC1=NC(N(C(=N1)N)c2cccc(Cl)c2)c3cccc(Oc4cc(Cl)cc(Cl)c4)c3	1108681	IC50	=	3100	nM	5.51				155797	CHEMBL760283	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase C59R/S108N (K1CB1) mutant	1	Scientific Literature	Plasmodium falciparum	K1CB1	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL346963	267151	CHEMBL346963	267151		42 (C372)	321.85	4.62	80	0	CCCCCCCC1N=C(N)N=C(N)N1c2cccc(Cl)c2	1132450	IC50	=	4	nM	8.4				155795	CHEMBL760281	F	In vitro anti-plasmodial activity against Plasmodium falciparum dihydrofolate reductase A16V/S108T (T9/94RC17) mutant	1	Scientific Literature	Plasmodium falciparum	T9/94RC17	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17662	CHEMBL1138835	14736247	J. Med. Chem.	2004	47	3	673
CHEMBL120123	195068	CHEMBL120123	195068		53	350.41	3.43	96.28	0	COc1cc(Cc2c(C)nc(N)nc2N)ccc1OCc3ccccc3	215970	IC50	<	20	nM					155472	CHEMBL769668	F	In vitro antimalarial activity relative to trimethoprim against Plasmodium falciparum Vl/S with quadruple DHFR mutant (N51I/C59R/S108N/I164L)	1	Scientific Literature	Plasmodium falciparum	V1/S	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17636	CHEMBL1148379	14711307	J. Med. Chem.	2004	47	2	345
CHEMBL416376	27613	CHEMBL416376	27613		37	396.44	3.11	114.74	0	COc1cc(COc2ccc(Cc3cnc(N)nc3N)cc2)cc(OC)c1OC	210137	IC50	=	100	nM	7				155470	CHEMBL769666	F	In vitro antimalarial activity relative to trimethoprim against Plasmodium falciparum TM4/8.2 wtDHFR	1	Scientific Literature	Plasmodium falciparum	TM4/8.2	5833	Intermediate	70	CHEMBL1939	SINGLE PROTEIN	P13922	Dihydrofolate reductase	Plasmodium falciparum K1	8	Homologous protein			17636	CHEMBL1148379	14711307	J. Med. Chem.	2004	47	2	345
